saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(0/1000), V={0, 0.2, -0.3}: 10 iterations, reldev=0.232231, n_E = 7780
(1/1000), V={0, 0.2, -0.299399}: 10 iterations, reldev=0.231812, n_E = 7808
(2/1000), V={0, 0.2, -0.298799}: 10 iterations, reldev=0.231439, n_E = 7868
(3/1000), V={0, 0.2, -0.298198}: 10 iterations, reldev=0.23106, n_E = 7816
(4/1000), V={0, 0.2, -0.297598}: 10 iterations, reldev=0.230625, n_E = 7764
(5/1000), V={0, 0.2, -0.296997}: 10 iterations, reldev=0.228634, n_E = 7796
(6/1000), V={0, 0.2, -0.296396}: 10 iterations, reldev=0.229924, n_E = 7804
(7/1000), V={0, 0.2, -0.295796}: 10 iterations, reldev=0.22852, n_E = 7708
(8/1000), V={0, 0.2, -0.295195}: 10 iterations, reldev=0.229178, n_E = 7756
(9/1000), V={0, 0.2, -0.294595}: 10 iterations, reldev=0.22834, n_E = 7812
(10/1000), V={0, 0.2, -0.293994}: 10 iterations, reldev=0.228456, n_E = 7748
(11/1000), V={0, 0.2, -0.293393}: 10 iterations, reldev=0.228132, n_E = 7780
(12/1000), V={0, 0.2, -0.292793}: 10 iterations, reldev=0.227766, n_E = 7792
(13/1000), V={0, 0.2, -0.292192}: 10 iterations, reldev=0.227405, n_E = 7804
(14/1000), V={0, 0.2, -0.291592}: 10 iterations, reldev=0.227038, n_E = 7760
(15/1000), V={0, 0.2, -0.290991}: 10 iterations, reldev=0.226676, n_E = 7792
(16/1000), V={0, 0.2, -0.29039}: 10 iterations, reldev=0.226319, n_E = 7752
(17/1000), V={0, 0.2, -0.28979}: 10 iterations, reldev=0.225887, n_E = 7808
(18/1000), V={0, 0.2, -0.289189}: 10 iterations, reldev=0.225602, n_E = 7792
(19/1000), V={0, 0.2, -0.288589}: 10 iterations, reldev=0.232808, n_E = 7768
(20/1000), V={0, 0.2, -0.287988}: 10 iterations, reldev=0.224885, n_E = 7824
(21/1000), V={0, 0.2, -0.287387}: 10 iterations, reldev=0.224467, n_E = 7824
(22/1000), V={0, 0.2, -0.286787}: 10 iterations, reldev=0.224139, n_E = 7756
(23/1000), V={0, 0.2, -0.286186}: 10 iterations, reldev=0.223985, n_E = 7840
(24/1000), V={0, 0.2, -0.285586}: 10 iterations, reldev=0.223566, n_E = 7824
(25/1000), V={0, 0.2, -0.284985}: 10 iterations, reldev=0.223114, n_E = 7804
(26/1000), V={0, 0.2, -0.284384}: 10 iterations, reldev=0.22274, n_E = 7784
(27/1000), V={0, 0.2, -0.283784}: 10 iterations, reldev=0.2224, n_E = 7816
(28/1000), V={0, 0.2, -0.283183}: 10 iterations, reldev=0.218915, n_E = 7768
(29/1000), V={0, 0.2, -0.282583}: 10 iterations, reldev=0.221682, n_E = 7772
(30/1000), V={0, 0.2, -0.281982}: 10 iterations, reldev=0.221367, n_E = 7768
